location_id,location_name,year,doy,tmin_c,tmax_c,precip_mm
BGD.1,Bagerhat,2019,334,15.0,28.0,0.0
BGD.1,Bagerhat,2019,335,14.0,29.0,2.0
BGD.1,Bagerhat,2019,336,13.0,31.0,5.0
BGD.1,Bagerhat,2020,1,12.0,25.0,0.0
BGD.1,Bagerhat,2020,2,10.0,32.0,1.0
BGD.1,Bagerhat,2020,3,9.0,34.0,3.0
BGD.1,Bagerhat,2020,135,18.0,36.0,4.0
BGD.1,Bagerhat,2020,136,19.0,37.0,6.0
BGD.1,Bagerhat,2020,200,22.0,35.0,10.0
BGD.1,Bagerhat,2020,201,23.0,36.0,0.0
BGD.1,Bagerhat,2020,202,24.0,38.0,2.0
BGD.1,Bagerhat,2020,203,25.0,39.0,1.0
